,Original Solving Time,Initial Given Solving Time,Original Iterations,Initial Given Iterations
74,57.381885051727295,56.348819971084595,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3066}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2955}"
75,57.05869507789612,51.52478289604187,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 2998}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2692}"
76,73.06417798995972,65.7371678352356,"{'Outer-Iteration': 520, 'Inner(CG)-Iteration': 3923}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3531}"
77,60.990811824798584,59.866923809051514,"{'Outer-Iteration': 520, 'Inner(CG)-Iteration': 3228}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3166}"
78,61.13101410865784,57.998082876205444,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3189}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3061}"
79,61.32353615760803,52.734107971191406,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3243}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3113}"
80,56.42358994483948,52.54121708869934,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3371}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3141}"
81,53.26298189163208,52.01810598373413,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3141}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3057}"
82,52.98196291923523,47.81962609291077,"{'Outer-Iteration': 520, 'Inner(CG)-Iteration': 3104}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2781}"
83,46.90449810028076,57.712626934051514,"{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2775}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 3463}"
84,55.09294605255127,56.33353018760681,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3267}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3364}"
85,51.92037796974182,55.61084794998169,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3041}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3296}"
86,55.37991905212402,51.9505569934845,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3199}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3045}"
87,50.63310194015503,47.639888048172,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2964}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2801}"
88,50.39139199256897,52.24006104469299,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2962}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 3095}"
89,66.155601978302,50.062551975250244,"{'Outer-Iteration': 560, 'Inner(CG)-Iteration': 3912}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2973}"
90,46.97997689247131,55.358402967453,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2760}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3297}"
91,55.79624104499817,46.89486813545227,"{'Outer-Iteration': 520, 'Inner(CG)-Iteration': 3280}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2603}"
92,51.66074299812317,62.39601993560791,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3019}","{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3681}"
93,52.70893597602844,48.30441403388977,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3126}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2864}"
94,52.416157960891724,51.190361976623535,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3074}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3001}"
95,47.06343197822571,54.973589181900024,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2756}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3251}"
96,48.01768183708191,45.07196283340454,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2816}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2624}"
97,62.1373450756073,51.60053014755249,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3696}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3027}"
98,54.819591999053955,57.325833797454834,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3224}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3412}"
99,52.588632106781006,47.796988010406494,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3134}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2844}"
